,year,words
0,1985,"['globalisierung', nan, nan]"
1,1943,"['globalisierung', nan, nan]"
2,1993,"[nan, nan]"
3,1995,"[nan, nan]"
4,1958,"['globalisierung', nan, nan]"
5,1983,"['globalisierung', nan, nan]"
6,1919,"['modernisierung', 'globalisierung', nan, nan]"
7,1975,"['globalisierung', nan, nan]"
8,1960,"['globalisierung', nan, nan]"
9,1922,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
10,1928,"['globalisierung', nan, nan]"
11,2006,"[nan, nan]"
12,1972,"['globalisierung', nan, nan]"
13,1908,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
14,1916,"['modernisierung', 'globalisierung', nan, nan]"
15,1913,"['modernisierung', 'globalisierung', nan, nan]"
16,1987,"['globalisierung', nan, nan]"
17,1971,"['globalisierung', nan, nan]"
18,1906,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
19,1924,"['modernisierung', 'globalisierung', nan, nan]"
20,1955,"['globalisierung', nan, nan]"
21,1954,"['globalisierung', nan, nan]"
22,1956,"['globalisierung', nan, nan]"
23,1900,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
24,1948,"['globalisierung', nan, nan]"
25,2004,"[nan, nan]"
26,1978,"['globalisierung', nan, nan]"
27,1999,"[nan, nan]"
28,1998,"[nan, nan]"
29,1934,"['globalisierung', nan, nan]"
30,1997,"[nan, nan]"
31,2001,"[nan, nan]"
32,1991,"[nan, nan]"
33,1903,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
34,1962,"['globalisierung', nan, nan]"
35,1970,"['globalisierung', nan, nan]"
36,1921,"['globalisierung', nan, nan]"
37,1917,"['globalisierung', nan, nan]"
38,1923,"['modernisierung', 'globalisierung', nan, nan]"
39,1949,"['globalisierung', nan, nan]"
40,1905,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
41,1914,"['modernisierung', 'globalisierung', nan, nan]"
42,2009,"[nan, nan]"
43,1912,"['modernisierung', 'globalisierung', nan, nan]"
44,1994,"[nan, nan]"
45,1935,"['globalisierung', nan, nan]"
46,1984,"['globalisierung', nan, nan]"
47,1952,"['globalisierung', nan, nan]"
48,1989,"[nan, nan]"
49,1929,"['modernisierung', 'globalisierung', nan, nan]"
50,2005,"[nan, nan]"
51,1996,"[nan, nan]"
52,1911,"['modernisierung', 'globalisierung', nan, nan]"
53,1933,"['globalisierung', nan, nan]"
54,1982,"['globalisierung', nan, nan]"
55,1904,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
56,1964,"['globalisierung', nan, nan]"
57,1941,"['globalisierung', nan, nan]"
58,1979,"['globalisierung', nan, nan]"
59,1907,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
60,1992,"[nan, nan]"
61,1926,"['modernisierung', 'globalisierung', nan, nan]"
62,1976,"['globalisierung', nan, nan]"
63,1986,"['globalisierung', nan, nan]"
64,1957,"['globalisierung', nan, nan]"
65,1947,"['globalisierung', nan, nan]"
66,1920,"['modernisierung', 'globalisierung', nan, nan]"
67,1968,"['globalisierung', nan, nan]"
68,1946,"['globalisierung', nan, nan]"
69,1961,"['globalisierung', nan, nan]"
70,2002,"[nan, nan]"
71,1932,"['globalisierung', nan, nan]"
72,1980,"['globalisierung', nan, nan]"
73,1977,"['globalisierung', nan, nan]"
74,1902,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
75,1931,"['modernisierung', 'globalisierung', nan, nan]"
76,2007,"[nan, nan]"
77,1918,"['modernisierung', 'globalisierung', nan, nan]"
78,1990,"[nan, nan]"
79,1939,"['globalisierung', nan, nan]"
80,1925,"['modernisierung', 'globalisierung', nan, nan]"
81,1910,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
82,1944,"['globalisierung', nan, nan]"
83,1940,"['modernisierung', 'globalisierung', nan, nan]"
84,1945,"['globalisierung', nan, nan]"
85,1969,"['globalisierung', nan, nan]"
86,1973,"['globalisierung', nan, nan]"
87,2003,"[nan, nan]"
88,1959,"['globalisierung', nan, nan]"
89,1966,"['globalisierung', nan, nan]"
90,1915,"['modernisierung', 'globalisierung', nan, nan]"
91,1942,"['globalisierung', nan, nan]"
92,1951,"['globalisierung', nan, nan]"
93,1901,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
94,1930,"['globalisierung', nan, nan]"
95,1967,"['globalisierung', nan, nan]"
96,1963,"['globalisierung', nan, nan]"
97,1981,"['globalisierung', nan, nan]"
98,1938,"['globalisierung', nan, nan]"
99,1974,"['globalisierung', nan, nan]"
100,2000,"[nan, nan]"
101,1950,"['globalisierung', nan, nan]"
102,1927,"['globalisierung', nan, nan]"
103,1937,"['globalisierung', nan, nan]"
104,1936,"['globalisierung', nan, nan]"
105,2008,"[nan, nan]"
106,1965,"['globalisierung', nan, nan]"
107,1909,"['industrialisierung', 'modernisierung', 'globalisierung', nan, nan]"
108,1988,"['globalisierung', nan, nan]"
109,1953,"['globalisierung', nan, nan]"
