,moral,immoral
0,good,evil
1,moral,immoral
2,good,bad
3,honest,dishonest
4,virtuous,sinful
5,virtue,vice
6,righteous,wicked
7,chaste,transgressive
8,principled,unprincipled
9,unquestionable,questionable
10,noble,nefarious
11,uncorrupt,corrupt
12,scrupulous,unscrupulous
13,altruistic,selfish
14,chivalrous,knavish
15,honest,crooked
16,commendable,reprehensible
17,pure,impure
18,dignified,undignified
19,holy,unholy
20,valiant,fiendish
21,upstanding,villainous
22,guiltless,guilty
23,decent,indecent
24,chaste,unsavory
25,righteous,odious
26,ethical,unethical
