ideology,governance,economics
democrazia,governance,economico
 dittatura, governo, economia
 autoritario, amministrazione, sviluppo
 autoritarismo, amministrazione, sviluppo
 comunismo, giurisdizione, inflazione
 comunista, giurisdizionale, occupazione
 totalitarismo, burocrazia, disoccupazione
 socialismo, burocrate, fiscale
 socialista, burocrati, finanziario
 anarchia, autorità, finanziario
 anarchico, autorità, commerciale
 anarchismo, politica, monetario
 conservatorismo, politico, capitale
 fascismo, sovranità, mercato
 fascista, ministero, azioni
 liberalismo, regime, corporativismo
 liberale, sistema politico, moneta
 libertarismo, pubblico, monopolio
 libertario, tassazione, imprese
 liberalizzazione, tasse, globalizzazione
 nazionalismo,, globalizzazione
 nazionalista,, modernizzazione
 populismo,, modernizzazione
 populista,, industria
 progressismo,, industrializzazione
 progressista,, industrializzare
 umanesimo,, materialismo
 umanista,, materialista
 capitalismo,, capitale
 capitalista,, ridimensionamento
 utopia,, commercio
 utopica,,
 uguaglianza,,
 equità,,
